Epoch:0  Iteration:0  Cross Validation Error:2.301877
Iteration:211  Error:0.227503
Iteration:212  Error:0.330844
Iteration:213  Error:0.107044
Iteration:214  Error:0.180866
Iteration:215  Error:0.139627
Iteration:216  Error:0.211999
Iteration:217  Error:0.256338
Iteration:218  Error:0.267423
Iteration:219  Error:0.460542
Iteration:220  Error:0.384453
Iteration:221  Error:0.174561
Iteration:222  Error:0.153322
Iteration:223  Error:0.370503
Iteration:224  Error:0.325455
Iteration:225  Error:0.335466
Iteration:226  Error:0.314513
Iteration:227  Error:0.276906
Iteration:228  Error:0.234156
Iteration:229  Error:0.106569
Iteration:230  Error:0.343187
Iteration:231  Error:0.200086
Iteration:232  Error:0.362901
Iteration:233  Error:0.216107
Iteration:234  Error:0.278919
Iteration:235  Error:0.304521
Iteration:236  Error:0.280161
Iteration:237  Error:0.194850
Iteration:238  Error:0.244385
Iteration:239  Error:0.156216
Iteration:240  Error:0.219673
Iteration:241  Error:0.292552
Iteration:242  Error:0.158973
Iteration:243  Error:0.200030
Iteration:244  Error:0.113324
Iteration:245  Error:0.278896
Iteration:246  Error:0.165100
Iteration:247  Error:0.307005
Iteration:248  Error:0.313380
Iteration:249  Error:0.370375
Iteration:250  Error:0.315734
Iteration:251  Error:0.287607
Iteration:252  Error:0.117941
Iteration:253  Error:0.088755
Iteration:254  Error:0.157864
Iteration:255  Error:0.256243
Iteration:256  Error:0.321401
Iteration:257  Error:0.415280
Iteration:258  Error:0.250953
Iteration:259  Error:0.139569
Iteration:260  Error:0.321074
Iteration:261  Error:0.241591
Iteration:262  Error:0.230183
Iteration:263  Error:0.257853
Iteration:264  Error:0.308039
Iteration:265  Error:0.247790
Iteration:266  Error:0.204470
Iteration:267  Error:0.238664
Iteration:268  Error:0.193094
Iteration:269  Error:0.100672
Iteration:270  Error:0.358108
Iteration:271  Error:0.118646
Iteration:272  Error:0.137985
Iteration:273  Error:0.153142
Iteration:274  Error:0.187358
Iteration:275  Error:0.091883
Iteration:276  Error:0.160607
Iteration:277  Error:0.099256
Iteration:278  Error:0.147459
Iteration:279  Error:0.180317
Iteration:280  Error:0.343151
Iteration:281  Error:0.170034
Iteration:282  Error:0.069454
Iteration:283  Error:0.093111
Iteration:284  Error:0.179307
Iteration:285  Error:0.154090
Iteration:286  Error:0.192569
Iteration:287  Error:0.310827
Iteration:288  Error:0.328283
Iteration:289  Error:0.280167
Iteration:290  Error:0.297327
Iteration:291  Error:0.302839
Iteration:292  Error:0.214701
Iteration:293  Error:0.389772
Iteration:294  Error:0.212428
Iteration:295  Error:0.280560
Iteration:296  Error:0.118559
Iteration:297  Error:0.135138
Iteration:298  Error:0.132856
Iteration:299  Error:0.321216
Iteration:300  Error:0.191457
Iteration:301  Error:0.166558
Iteration:302  Error:0.234815
Iteration:303  Error:0.235287
Iteration:304  Error:0.402123
Iteration:305  Error:0.419277
Iteration:306  Error:0.246310
Iteration:307  Error:0.290451
Iteration:308  Error:0.231983
Iteration:309  Error:0.265080
Iteration:310  Error:0.119120
Iteration:311  Error:0.168141
Iteration:312  Error:0.229610
Iteration:313  Error:0.304028
Iteration:314  Error:0.253419
Iteration:315  Error:0.295468
Iteration:316  Error:0.191961
Iteration:317  Error:0.132654
Iteration:318  Error:0.189030
Iteration:319  Error:0.335116
Iteration:320  Error:0.108726
Iteration:321  Error:0.197349
Iteration:322  Error:0.171869
Iteration:323  Error:0.204708
Iteration:324  Error:0.321552
Iteration:325  Error:0.253052
Iteration:326  Error:0.209784
Iteration:327  Error:0.288387
Iteration:328  Error:0.201722
Iteration:329  Error:0.235191
Iteration:330  Error:0.215607
Iteration:331  Error:0.248981
Iteration:332  Error:0.107906
Iteration:333  Error:0.152354
Iteration:334  Error:0.087114
Iteration:335  Error:0.225261
Iteration:336  Error:0.118184
Iteration:337  Error:0.091820
Iteration:338  Error:0.171587
Iteration:339  Error:0.118944
Iteration:340  Error:0.245508
Iteration:341  Error:0.312662
Iteration:342  Error:0.286936
Iteration:343  Error:0.273585
Iteration:344  Error:0.072431
Iteration:345  Error:0.392152
Iteration:346  Error:0.382754
Iteration:347  Error:0.401066
Iteration:348  Error:0.362733
Iteration:349  Error:0.111871
Iteration:350  Error:0.378752
Iteration:351  Error:0.142042
Iteration:352  Error:0.190405
Iteration:353  Error:0.067992
Iteration:354  Error:0.199732
Iteration:355  Error:0.175438
Iteration:356  Error:0.172089
Iteration:357  Error:0.173761
Iteration:358  Error:0.096043
Iteration:359  Error:0.118312
Iteration:360  Error:0.053891
Iteration:361  Error:0.233518
Iteration:362  Error:0.263290
Iteration:363  Error:0.414501
Iteration:364  Error:0.160848
Iteration:365  Error:0.298361
Iteration:366  Error:0.127958
Iteration:367  Error:0.104139
Iteration:368  Error:0.047085
Iteration:369  Error:0.073335
Iteration:370  Error:0.151293
Iteration:371  Error:0.073581
Iteration:372  Error:0.319337
Iteration:373  Error:0.247121
Iteration:374  Error:0.186191
Iteration:375  Error:0.149692
Iteration:376  Error:0.204953
Iteration:377  Error:0.398060
Iteration:378  Error:0.136555
Iteration:379  Error:0.206392
Iteration:380  Error:0.172338
Iteration:381  Error:0.262222
Iteration:382  Error:0.114264
Iteration:383  Error:0.194464
Iteration:384  Error:0.184170
Iteration:385  Error:0.162357
Iteration:386  Error:0.280317
Iteration:387  Error:0.110220
Iteration:388  Error:0.137416
Iteration:389  Error:0.183819
Iteration:390  Error:0.396404
Iteration:391  Error:0.246934
